Ciudad,x,y
San Lucas, 226, 355
La Paz, 218, 319
Loreto, 189, 257
Santa Rosalia, 168, 211
Rosarito, 125, 164
San Quintín, 78, 101
Ensenada, 62, 52
Tijuana, 56, 36
Nogales, 213, 88
Hermosillo, 209, 158
Guaymas, 211, 192
Los Mochis, 258, 269
Mazatlán, 330, 353
Culiacán, 300, 301
Torreón, 419, 280
Delicias, 369, 211
Chihuahua, 345, 179
Monterrey, 506, 274
Saltillo, 484, 285
Durango, 382, 327
Zacatecas, 440, 370
San Luis Potosí, 489, 389
Ciudad Victoria, 539, 338
Tampico, 578, 384
Guanajuato, 477, 426
Tepic, 372, 410
Guadalajara, 416, 437
Manzanillo, 388, 488
Colima, 403, 482
Morelia, 478, 470
Lázaro Cárdenas, 447, 522
Acapulco, 517, 554
Cuernavaca, 538, 494
México, 540, 473
Puebla, 565, 486
Poza Rica, 588, 438
Veracruz, 629, 483
Chilpancingo, 528, 535
Puerto Escondido, 605, 587
Oaxaca, 614, 554
Villahermosa, 734, 516
Campeche, 800, 451
Mérida, 823, 413
Cancún, 908, 397
Chetumal, 864, 489
León, 457, 420
Celaya, 485, 439
Toluca, 521, 479
Querétaro, 510, 437
Tuxla Gutiérrez, 728, 557
Minatitlán, 679, 519
Coazacoalcos, 684, 510
Nuevo Laredo, 526, 217
Monclova, 479, 238
Ciudad Juárez, 335, 79
Puerto Vallarta, 362, 433
Aguascalientes, 440, 397
Mexicali, 95, 33
Jalapa, 610, 470
Córdoba, 612, 488
Zamora, 443, 461
Pachuca, 545, 450
Hidalgo del Parral, 346, 231
Cozumel, 903, 422
Progreso, 820, 403
Ciudad del Carmen, 767, 491
Tapachula, 755, 614
San Cristóbal de Las Casas, 742, 557
Matamoros, 584, 269
Reynosa, 560, 262
Ciudad Obregón, 222, 208
Isla Cedros, 89, 177
Salina Cruz, 663, 573
Gomez Palacio, 413, 277
Ciudad Acuña, 459, 145
Navojoa, 246, 228
La Pesca, 579, 338
Candelaria, 380, 127
Santa María Huatulco, 627, 587
Tamaulipas, 717, 584
Bahía Tortugas, 95, 191
Matehuala, 494, 344
Valle de Bravo, 500, 482
Ixtepec, 659, 561
Madera, 290, 154
